Date,Open,High,Low,Close,Volume,Change
2019-01-02,6531,6565,6433,6439,14698,-0.013633578431372584
2019-01-03,6453,6512,6373,6374,7561,-0.010094735207330285
2019-01-04,6373,6531,6304,6533,5920,0.02494508942579232
2019-01-07,6610,6759,6600,6707,20339,0.02663401193938464
2019-01-08,6784,6784,6675,6692,12317,-0.0022364693603698083
2019-01-09,6694,6739,6680,6722,2874,0.004482964734010775
2019-01-10,6699,6799,6689,6772,1895,0.007438262421898267
2019-01-11,6784,6809,6759,6777,64914,0.0007383343177791435
2019-01-14,6828,6838,6769,6816,13365,0.0057547587428066205
2019-01-15,6882,6937,6877,6909,3901,0.013644366197183011
2019-01-16,6967,7007,6892,6919,14120,0.00144738746562445
2019-01-17,6917,6917,6655,6702,99579,-0.03136291371585487
2019-01-18,6699,6699,6610,6668,72136,-0.005073112503730215
2019-01-21,6699,6699,6477,6514,48898,-0.023095380923815245
2019-01-22,6512,6541,6463,6528,77077,0.002149217070924081
2019-01-23,6521,6551,6468,6504,8971,-0.003676470588235281
2019-01-24,6502,6546,6458,6518,27339,0.0021525215252151675
2019-01-25,6521,6620,6512,6608,27748,0.013807916538815634
2019-01-28,6645,6645,6565,6588,28725,-0.003026634382566562
2019-01-29,6590,6590,6473,6538,215170,-0.007589556769884598
2019-01-30,6551,6575,6497,6548,13464,0.0015295197308045072
2019-01-31,6561,6665,6561,6653,112403,0.016035430665852113
2019-02-01,6630,6630,6570,6613,254549,-0.0060123252667969584
2019-02-07,6620,6739,6610,6742,11359,0.01950703160441547
2019-02-08,6729,6749,6699,6752,27189,0.0014832393948382983
2019-02-11,6774,6853,6774,6835,14754,0.012292654028436045
2019-02-12,6833,6833,6704,6722,13628,-0.016532553035844888
2019-02-13,6749,6754,6694,6752,55244,0.00446295745313896
2019-02-14,6734,6739,6670,6742,10909,-0.001481042654028486
2019-02-15,6739,6814,6704,6811,15610,0.010234351824384369
2019-02-18,6853,6853,6799,6845,7967,0.004991924827485006
2019-02-19,6843,6902,6789,6904,10479,0.008619430241051829
2019-02-20,6902,6977,6902,6934,28798,0.004345307068366111
2019-02-21,6937,7031,6937,7009,108018,0.010816267666570623
2019-02-22,7035,7035,6922,6949,22858,-0.008560422314167537
2019-02-25,6972,7035,6957,7019,21864,0.010073391854943159
2019-02-26,7016,7026,6902,6944,13319,-0.010685282803818197
2019-02-27,6877,6952,6872,6899,11780,-0.006480414746543817
2019-02-28,6887,6907,6799,6802,8438,-0.014060008696912596
2019-03-04,6824,6897,6824,6894,3475,0.013525433695971811
2019-03-05,6922,6922,6794,6831,4847,-0.009138381201044377
2019-03-06,6799,6942,6799,6929,12849,0.014346362172449112
2019-03-07,6947,6957,6838,6845,5031,-0.012122961466301097
2019-03-08,6838,6927,6794,6919,22912,0.0108108108108107
2019-03-11,6977,6977,6680,6792,21532,-0.018355253649371295
2019-03-12,6804,6887,6784,6840,58334,0.007067137809187329
2019-03-13,6838,6843,6784,6840,7562,0.0
2019-03-14,6838,6843,6744,6752,7572,-0.012865497076023358
2019-03-15,6729,6729,6570,6618,99703,-0.019845971563981046
2019-03-18,6561,6744,6561,6747,9117,0.01949229374433359
2019-03-19,6779,6779,6660,6702,6797,-0.0066696309470876125
2019-03-20,6699,6699,6580,6663,7713,-0.005819158460161122
2019-03-21,6570,6645,6570,6633,21051,-0.004502476361999075
2019-03-22,6635,6635,6536,6593,1694,-0.006030453791647794
2019-03-25,6575,6575,6443,6444,6618,-0.022599726983163926
2019-03-26,6521,6605,6492,6578,19247,0.020794537554314152
2019-03-27,6665,6665,6487,6504,22446,-0.011249619945272071
2019-03-28,6502,6516,6453,6494,55594,-0.0015375153751537862
2019-03-29,6541,6615,6487,6618,26029,0.01909454881429018
2019-04-01,6620,6635,6595,6633,31362,0.002266545784224805
2019-04-02,6635,6679,6605,6678,6614,0.006784260515603879
2019-04-03,6675,6774,6675,6762,25510,0.012578616352201255
2019-04-04,6784,6794,6714,6762,51830,0.0
2019-04-05,6799,6819,6724,6747,4098,-0.002218278615794156
2019-04-08,6789,6799,6729,6742,9495,-0.0007410701052319446
2019-04-09,6739,6739,6630,6697,33011,-0.006674577276772453
2019-04-10,6680,6684,6655,6687,47798,-0.00149320591309543
2019-04-11,6709,6749,6689,6752,4848,0.009720352923582976
2019-04-12,6749,6749,6689,6732,15993,-0.002962085308056861
2019-04-15,6814,6907,6754,6909,21908,0.026292335115864596
2019-04-16,6957,7095,6902,7068,46431,0.023013460703430244
2019-04-17,7100,7190,7002,7004,18053,-0.009054895302773036
2019-04-18,6982,7035,6809,6831,13243,-0.024700171330668153
2019-04-19,6853,6887,6828,6831,4670,0.0
2019-04-22,6848,7016,6848,6989,10812,0.02312984921680572
2019-04-23,6987,6987,6922,6954,7211,-0.005007869509228824
2019-04-24,6977,6977,6877,6909,7428,-0.006471095772217383
2019-04-25,6877,6887,6754,6762,6771,-0.021276595744680882
2019-04-26,6754,6774,6660,6683,27329,-0.011682934043182436
2019-04-29,6700,6730,6695,6722,116139,0.005835702528804498
2019-04-30,6785,6825,6735,6802,175007,0.011901219875037228
2019-05-02,6849,6893,6824,6875,258987,0.010732137606586312
2019-05-03,6893,6893,6854,6865,179016,-0.0014545454545454861
2019-05-07,6849,6849,6755,6762,8484,-0.0150036416605972
