,A305720,A091180,A228800,A161510,A150460,A228810,A139220,A117680,A174350,A244670,A322150,A337120,A147970,A243880,A153130,A148070,A332620,A182490,A292770,A123310,A292340,A166400,A271050,A132030,A138910,A316300,A352560,A250780,A295020,A217780,A225030,A373530,A280940
2019-01-02,8102,12002,4356,9386,7179,6439,2669,6745,10047,7809,,,18400,18280,100045,115112,,11035,49710,7965,8330,11197,17920,9400,5265,,,7500,46880,15720,7790,,10155
2019-01-03,7908,12169,4366,9285,7104,6374,2674,6776,10056,7729,,,18138,17350,100075,115150,,11020,49690,8050,8205,11110,17690,9440,5230,,,7680,46920,15750,7845,,10120
2019-01-04,7946,12566,4434,9285,7169,6533,2679,6880,10202,7792,,,18360,17300,100085,114875,,11025,49720,7985,8255,11155,16960,9460,5155,,,7555,47065,15400,7860,,10075
2019-01-07,8316,12530,4469,9367,7204,6707,2706,6939,10161,7967,,,18587,18225,100090,114922,,11165,49720,7860,8545,11318,16555,9425,5270,,,7490,47065,15170,7630,,10165
2019-01-08,8316,12211,4557,9297,7189,6692,2701,6934,10143,7943,,,18534,18000,100090,114780,,11170,49745,7920,8490,11278,16590,9380,5230,,,7565,47115,15235,7570,,10200
2019-01-09,8530,12612,4601,9451,7258,6722,2739,7154,10173,8110,,,18756,19360,100100,114614,,11205,49755,7755,8770,11437,15990,9350,5310,,,7455,47185,14920,7475,,10195
2019-01-10,8558,12453,4552,9449,7276,6772,2734,7164,10127,8110,,,18690,19745,100115,114970,,11305,49735,7750,8785,11503,15575,9460,5310,,,7420,47115,14955,7515,,10100
2019-01-11,8553,12466,4645,9459,7296,6777,2720,7173,10157,8181,,,18672,20250,100110,114808,,11240,49740,7705,8845,11460,15320,9450,5270,,,7420,47165,14870,7450,,10120
2019-01-14,8496,12430,4678,9459,7315,6816,2730,7060,10089,8194,,,18605,19660,100115,114899,,11280,49730,7775,8835,11483,15760,9435,5230,,,7530,47055,15015,7490,,10135
2019-01-15,8626,12816,4723,9575,7359,6909,2759,7173,10188,8213,,,18793,20455,100125,115089,,11270,49725,7625,8905,11626,15715,9430,5275,,,7430,47025,14800,7440,,10150
2019-01-16,8714,12849,4688,9634,7329,6919,2786,7181,10197,8181,,,18823,20850,100130,115026,,11265,49740,7585,8970,11631,15400,9430,5300,,,7455,47100,14740,7390,,10140
2019-01-17,8577,12990,4626,9668,7229,6702,2764,7132,10281,8155,,,18672,20550,100135,115046,,11285,49735,7570,8965,11679,15475,9430,5330,,,7580,47065,14800,7435,,10120
2019-01-18,8617,13359,4665,9727,7291,6668,2769,7173,10281,8208,,,18800,20735,100145,114756,,11295,49765,7515,9020,11710,15260,9430,5370,,,7450,47205,14655,7330,,10135
2019-01-21,8607,13172,4650,9734,7243,6514,2754,7295,10260,8236,,,18730,21325,100150,114638,,11370,49775,7510,9040,11752,14900,9370,5375,,,7500,47230,14515,7265,,10220
2019-01-22,8567,13109,4655,9722,7219,6528,2749,7240,10263,8194,,,18697,20695,100150,114766,,11320,49750,7550,9025,11742,15095,9310,5320,,,7505,47145,14710,7300,,10250
2019-01-23,8587,13447,4812,9715,7329,6504,2805,7263,10361,8289,,,18859,20950,100145,114894,,11320,49745,7500,9055,11742,15140,9375,5315,,,7525,47095,14680,7310,,10205
2019-01-24,8545,13401,4767,9811,7281,6518,2843,7191,10377,8284,,,18823,21400,100165,114960,,11310,49765,7445,9065,11866,15395,9340,5295,,,7400,47150,14375,7305,,10195
2019-01-25,8827,13195,4728,9908,7325,6608,2862,7254,10396,8329,,,18809,23315,100165,114780,,11345,49770,7305,9135,11945,15005,9355,5325,,,7320,47225,14285,7270,,10200
2019-01-28,8792,13240,4660,9866,7325,6588,2848,7214,10415,8379,,,18778,22905,100170,114651,,11370,49775,7305,9115,11945,15205,9500,5400,,,7265,47280,14370,7270,,10050
2019-01-29,8807,13322,4611,9841,7305,6538,2800,7227,10425,8347,,,18654,23320,100170,114519,,11310,49785,7275,9130,11963,15390,9510,5375,10110.0,,7290,47305,14370,7315,,10040
2019-01-30,8888,13560,4670,9919,7305,6548,2881,7399,10514,8428,,,18706,23735,100175,114344,,11335,49820,7185,9160,11983,15040,9585,5410,10070.0,,7210,47350,14385,7290,,9970
2019-01-31,8782,13610,4688,10024,7349,6653,2872,7417,10548,8436,,,18695,23170,100195,114624,,11365,49780,7195,9165,12000,14755,9625,5495,10130.0,,7165,47200,14345,7190,,9935
2019-02-01,8787,13437,4752,10027,7339,6613,2876,7419,10576,8436,,,18716,23445,100205,114927,,11410,49775,7205,9165,12019,14950,9615,5480,10230.0,,7170,47140,14195,7115,,9940
2019-02-07,9030,13337,4698,10047,7329,6742,2872,7444,10572,8468,,,18849,23985,100215,114955,,11475,49785,7215,9220,12048,14975,9505,5605,10295.0,,7020,47220,13810,7075,,10060
2019-02-08,8913,13296,4611,9989,7248,6752,2834,7295,10531,8410,,,18706,23020,100225,115160,,11505,49755,7310,9165,12028,15410,9525,5600,10355.0,,7030,47090,14180,7155,,10030
2019-02-11,8918,13437,4606,9974,7271,6835,2838,7263,10497,8388,,,18685,23315,100235,115335,,11450,49745,7300,9205,12033,15355,9565,5555,10270.0,,6955,46995,13995,7125,,10005
2019-02-12,8898,13505,4562,9985,7219,6722,2829,7268,10484,8391,,,18613,24225,100240,115126,,11420,49780,7265,9210,12043,15305,9540,5530,10220.0,,7010,47110,13805,7080,,9995
2019-02-13,9001,13401,4601,10039,7320,6752,2838,7254,10548,8432,,,18872,24490,100245,114994,,11445,49795,7225,9225,12057,15000,9570,5540,10190.0,,6905,47150,13395,6995,,9980
2019-02-14,9045,13190,4557,10113,7426,6742,2829,7295,10655,8481,,,19014,24900,100250,115055,,11430,49795,7160,9265,12057,14790,9530,5525,10175.0,,6895,47185,13440,6980,,10035
2019-02-15,8957,13095,4562,10058,7522,6811,2834,7214,10526,8428,,,18877,23960,100260,115287,,11450,49770,7255,9005,11959,14720,9550,5495,10315.0,,6940,47075,13640,7050,,10000
2019-02-18,9137,13046,4552,10129,7576,6845,2838,7272,10555,8536,,,19081,24580,100265,115097,,11490,49815,7195,9030,11941,14355,9635,5605,10300.0,,6860,47195,13330,6945,,9920
2019-02-19,9257,12980,4645,10078,7613,6904,2834,7330,10497,8540,,,19126,24445,100265,115055,,11495,49815,7230,9050,11904,14355,9645,5620,10295.0,,6830,47160,13315,6940,,9910
